Name of location,City/Municipality,Province,Region 
Unihealth-Parañaque Hospital and Medical Center,Paranaque,,
Department of Health,Pasay,,
Department of Health,Manila,,
Pasay City General Hospital,Pasay,,
Pasay Checkpoints,Pasay,,
Taguig Checkpoints,Taguig,,
Department of Health,Quezon City,,
Checkpoints,Quezon City,,
Local Barangay,Quezon City,,
San Juan Medical Center,Quezon City,,
Lung Center of the Philippines,Quezon City,,
Camp Aguinaldo ,Quezon City,,
PVAO,Quezon City,,
Rizal Medical Center,Pasig,,
Pasig Doctors Medical Center,Pasig,,
Makati Medical Center,Makati,,
San Juan de Dios Hospital,Pasay,,
Amang Rodriguez Memorial Hospital,Marikina,,
Rizal Provincial Hospital,Morong,,
"Casimiro Ynares Memorial Hospital, Rodriguez, Rizal",Rizal,,
Barangay Concepcion Uno workers & volunteers.,Marikina,,
Checkpoints in Nangka & Amang Rodriguez,Marikina,,
Mandaluyong City Medical Center,Mandaluyong,,
Barangay Wack Wack,Mandaluyong,,
St. Camillus Medical Center,Pasig,,
Karangalan Checkpoint and Cainta Division,Pasig,,
Mandaluyong City Hall,Pasig,,
Barangay Dela Paz,Pasig,,
Bureau of Fire Protection,Muntinlupa,,
Susana Heights Checkpoint,Muntinlupa,,
Barangay Captain Cris Aguilar,Paranaque,,
National Children's Hospital,Quezon City,,
P.Tuazon Checkpoint,Quezon City,,
East Ave Medical Center,Quezon City,,
National Kidney & Transplant Institute,Quezon City,,
"Social Services Dev't Dept, QC",Quezon City,,
PNP PCP cor Katipunan/Aurora,Quezon City,,
Quirino Memorial Medical Center,Quezon City,,
Camp Crame Frontliners,Quezon City,,
MDRRMO Candelaria,Candelaria,,
North Caloocan,Quezon City,,
North Caloocan Checkpoint,Quezon City,,
Police/ MMDA ,Quezon City,,
V. Luna Medical Center,Quezon City,,
Camp Aguinaldo,Quezon City,,
Quezon City,Quezon City,,
Quezon City Govt,Quezon City,,
QC,Quezon City,,
Police/ Barangay,Quezon City,,
Police Barangay,Quezon City,,
Barangay Baesa,Quezon City,,
BRGY. KALSADA CHECKPOINT,Ligao,,
Police Station,Quezon City,,
Brgy. Tuburan Sur  Tanod / Com. Health Nurse / DSWD Volunteer,Liloan,,
Traffic Sector,Quezon City,,
Barangay Dela Paz Pasig,Pasig,,
The Medical City - Ortigas,Pasig ,,
PSMS,Manila,,
Barangay,Manila,,
Mother & Child Hospital,Manila,,
Quick Action Team,Manila,,
Precint 8 Plaza Avelino,Manila,,
Calamba Medical Center,Calamba,,
Western Traffic Station,Manila,,
Traffic Sector,Manila,,
Mandaluyong City Hall,Mandaluyong,,
SM Supermarket Frontliners,Manila,,
Checkpoint,Manila,,
Banco de Oro,Manila,,
 PNP/AFP,Rosario,,
Brgy. Imelda Uniformed Personnel,Manila,,
Valenzuela Action Center,Valenzuela,,
Hospital ng Malabon,Malabon,,
Liga ng mga Barangay,Alicia,,
C4 Checkpoint,Navotas,,
Fish port Checkpoint,Navotas,,
Navotas MMDA,Navotas,,
Diosdado Macapagal Hospital,Caloocan,,
Caloocan City Medical Center,Caloocan,,
Brgy 84,Caloocan,,
Precinct 1 Asuncion,Caloocan,,
Venom Fire Rescue Vounteer,Caloocan,,
MCU Hospital,Caloocan,,
Our Lady of Grace Hospital,Caloocan,,
Fire Volunteer Cal.,Caloocan,,
Brgy 69,Caloocan,,
Brgy 87,Caloocan,,
Cal. Central fire station,Caloocan,,
NPD Nlex Camachile South Bound,Caloocan,,
NPD Nlex Camachile North Bound,Caloocan,,
Brgy 139,Caloocan,,
Camachile Northbound check point,Caloocan,,
MMDA Balintawak going B Barrio Checkpoint Support,Caloocan,,
Veterans Memorial Medical Center ,Quezon City,,
Roosevelt Checkpoint,Quezon City,,
Urdenata Sacred Heart Hospital,Binalonan,,
" 5 Police Checkpoints- Diversion, Macapagal,Carig,Bonofacio and Namabalan",Tuguegarao,,
MTPB Victory Liner,Manila,,
MTPB Mendiola,Manila,,
MTPB Section 4,Manila,,
Brgy. 406,Manila,,
Brgy. 413,Manila,,
Brgy. 414,Manila,,
Bgry. 417,Manila,,
Brgy. 417,Manila,,
Brgy. 416,Manila,,
Brgy. 401,Manila,,
Brgy. 402,Manila,,
Brgy. 403,Manila,,
Brgy. 411,Manila,,
Brgy. 404,Manila,,
Brgy. 905,Manila,,
Checkpoint Sta.Mesa,Manila,,
San Juan Fire Department,San Juan,,
San Juan Rescue Department,San Juan,,
San Juan Police Station,San Juan,,
Brgy. Addition Hills,San Juan,,
Brgy. Little Baguio,San Juan,,
Sanitary Department,San Juan,,
San Juan Police department,San Juan,,
Bgy E. Rodriguez Health Workers,Quezon City,,
Benguet General Hospital,La Trinidad,,
Tondo Medical Center,Manila,,
MPD Station 7,Manila,,
Barangay 7,Manila,,
Area Cluster 1 & 3 (asstd frontliner personnel),Quezon City,,
Camp Aguinaldo Hospital,Quezon City,,
OJ9/OJ1/CIVIL RELATIONS SERVICE,Quezon City,,
Barangay 350,Manila,,
Barangay 345,Manila,,
Barangay 344,Manila,,
Barangay 352,Manila,,
Barangay 341,Manila,,
Blumentrit Police Station,Manila,,
Jose R. Reyes Memorial Medical Center,Manila,,
MTPB Lacson cor. Aragon,Manila,,
Barangay 339,Manila,,
DR JOSE FABELLA MEMORIAL HOSPITAL,Manila,,
Asstd fronliners from checkpoints cubao and araneta cluster,Quezon City,,
 Brgy. 27 Laoag City,Laoag,,
Bgy. E. Rodiguez health workers/ checkpoint frontliners 15th ave ang Bgy Diego Silang,Quezon City,,
"asstd checkpoints frontliners (20th ave, Zobel,E. Rod)",Quezon City,,
AFP RESERVE,Quezon City,,
MILITARY POLICE BATALLION,Quezon City,,
DND,Quezon City,,
BGY E.ROD HEALTH WORKERS (PM SHIFT),Quezon City,,
Barangay 306,Manila,,
Sta Cruz Police Station,Manila,,
Barbosa Police Station,Manila,,
Plaza Miranda Police Station,Manila,,
Barangay 393,Manila,,
Police Station 3,Manila,,
Palanca Police Station,Manila,,
Quiapo Church,Manila,,
MTPB,Manila,,
Mary Johnson Hospital ,Manila,,
Brgy 28 Zone 2,Manila,,
Brgy 15 Zone 2,Manila,,
Brgy 19 Zone 2,Manila,,
Brgy 29 Zone 2,Manila,,
Brgy 20 Zone 2,Manila,,
Asuncion PCP ,Manila,,
PCP Plaza Morga,Manila,,
Gat Andres Bonifacio Memorial Medical Center,Manila,,
PCP Delpan,Manila,,
Barangay 12  CM Recto,Manila,,
Barangay 16 San Antonio,Manila,,
Barangay 31 Lualhati,Manila,,
Barangay 13 Zone 2,Manila,,
Barangay 14 Zone 2,Manila,,
Barangay  11 ,Manila,,
Bureau of Fire Plaza Leon Station,Manila,,
Bureau of Fire San Nicolas Station,Manila,,
PCP San Nicolas ,Manila,,
Bgy. 231 Balintawak st Tondo,Manila,,
Bureau of Fire,Bae,,
Bgy. 247  F. Ma Guerero Tondo,Manila,,
Bay Checkpoint,Bae,,
Bgy.2 45 F. Ma Guerero Tondo,Manila,,
Bgy. 248 F. Ma Guerero Tondo,Manila,,
Philippine National Police,San Fernando,,
Bgy. 243 F. Ma Guerero Tondo,Manila,,
Bgy. 241.  A. Rivera St. Tondo,Manila,,
 RHU-1 Bayambang,Bayambang,,
Bgy. 238 Balintawak St. Tondo,Manila,,
Bgy. 62.  Pavia St. Tondo,Manila,,
Royal Family Mall (Mall Guards),Bayambang,,
Palomar Heath Center,Manila,,
Presinto 2 Dagupan St. Tondo,Manila,,
Ospital ng Tondo,Manila,,
Brgy. Carungay Checkpoint,Bayambang,,
Metropolitan Medical Center,Manila,,
Barangay Pasong Tamo,Quezon City,,
Pasong Tamo Health Center,Quezon City,,
Police Station 3,Quezon City,,
Barangay Sauyo,Quezon City,,
Pascual General Hospital,Quezon City,,
Barangay Tandang Sora,Quezon City,,
Brgy Vasra,Quezon City,,
Masambong Checkpoint,Quezon City,,
Metro North Medical Center and Hospital,Quezon City,,
Brgy Project 6,Quezon City,,
Philippine Heart Center,Quezon City,,
New Era General Hospital,Quezon City,,
Brgy. Parian Mexico Checkpoint,Mexico,,
San Luis PNP Brgy Officials,Mexico,,
Bararangay Vasra,Quezon City,,
 Brgy San Juan Sta AnaCheck point,Mexico,,
RURAL HEALTH UNIT TINAMBAC 2,Goa,,
Barangay Vasra,Quezon City,,
 San Nicolas Mexico Pampanga  Checkpoint ,Mexico,,
Barangay Project 6,Quezon City,,
Opol Checkpoint  ,Opol,,
Barangay Project6,Quezon City,,
LGU Goa San Isidro Chaeckpoint,Goa,,
San Rafael Tigaon Checkpoint,Goa,,
Bureau of Fire and Protection ,Opol,,
Mabalodbalod Tigaon Checkpoint ,Goa,,
Diliman Doctors Hospital,Quezon City,,
Masambong Poilice Station 2,Quezon City,,
Office of the Mayor,Quezon City,,
Robinsons Mall Frontliners,Quezon City,,
Barangay Pasong Putik,Quezon City,,
BPSO Brgy Lagro,Quezon City,,
Barangay Greater Lagro,Quezon City,,
DRRMO,Quezon City,,
Nodado Hospital,Quezon City,,
Caloocan Police Station,Caloocan,,
Barangay North Fairview,Quezon City,,
Barangay 177,Quezon City,,
Brgy 177,Quezon City,,
Brgy Pasong Putik,Quezon City,,
Brgy BFP,Quezon City,,
QC Health Response,Quezon City,,
POlice Sation 5,Quezon City,,
Police Station 5,Quezon City,,
Brgy North Fairview,Quezon City,,
Novaliches District Hospital,Quezon City,,
Novaliches General Hospital,Quezon City,,
Police Checkpoint,Quezon City,,
PCP 4,Quezon City,,
PCP 3,Quezon City,,
Brgy Nova Proper,Quezon City,,
Police Stn 4,Quezon City,,
Bgy Socorro Health workers and frontliners,Quezon City,,
Barangay Capri,Quezon City,,
SM Supermarket Frontliners,Quezon City,,
Philippine Coast Guard,Manila,,
MMDA,Manila,,
Ospital ng Sampaloc,Manila,,
Site Office Checkpoint,Manila,,
MDTEV,Manila,,
Taft Quirino Checkpoint,Manila,,
LGUs of Brgy.725,Manila,,
QCDRRMO,Quezon City,,
Brigada news butuan covid19 frontliners,Butuan,,
MF Jhocson Health Center,Manila,,
Police E. Master Sgt,Manila,,
Brgy. 415,Manila,,
MMDA ,Quezon City,,
Health Workers,Quezon City,,
Barangay Nagkaisang Nayon,Quezon City,,
Immaculate Concepcion,Victorias,,
 St. Anne’s District Hospital,Cadiz,,
Cadiz City Birthing Home,Cadiz,,
Silliman University Medical Center,Dumaguete ,,
Holy Child Hospital,Dumaguete ,,
Negros Oriental Provincial Hospital,Dumaguete ,,
PNP,Roxas,,
MDRRMO,Antique,,
Cadiz City Health,Cadiz,,
Cebu Provincial Hospital-Danao,Danao,,
Daanbantayan City,Daanbantayan ,,
Talisay District Hospital,Talisay,,
LGU Barangay Soccorro,Quezon City,,
LGU Barangay Soccoro,Quezon City,,
South Ville Main Gate/ PNP,Muntinlupa,,
,Muntinlupa,,
Task Force COVID-19 Paranaque,Paranaque,,
Family Doc,Quezon City,,
Pasong Putik Health Department,Quezon City,,
Lagro Health Center Dept,Quezon City,,
De Los Santos Medical Center,Quezon City,,
Checkpoint at E.Rod near Trinity University,Quezon City,,
Fire volunteers,Quezon City,,
Adventist Medical Center ,Pasay,,
PROTACIO GENERAL HOSPITAL ,Paranaque,,
Brgy Baclaran,Paranaque,,
Paranaque PNP/BFP ,Paranaque,,
Urdenata Sacred Heart Hospital,Urdaneta,,
PNP and Soldier Outpost,Rosario,,
Rosario,Rosario,,
Rosario District Hospital,Rosario,,
Kabalikat CIVICOM/Pulis Patrol,Aparri,,
Police Station,Bambang,,
"Barangay 3 Check point,  Barangay Santa check point, Barangay Liwanag check point",Tumauini,,
Provincial Hospital,Laoag,,
City Gen Hospital,Laoag,,
Ranada hospital,Laoag,,
"Check Point Java, Check Point Bacarra 
PNP / BFP 
Diversion Road
Traffic Division-Hypermarket",Laoag,,
 Junction Angadanan Quarantine ,Alicia,,
Manago Hospital,Alicia,,
Baniked Angadanan Quarantine ,Alicia,,
PNP Alicia HeadQuarter,Alicia,,
Salvacion Alicia Quarantine Check point,Alicia,,
RHU Alicia,Alicia,,
Cacal Hospital,Alicia,,
Paguila Hospital,Alicia,,
Baguio General Hospital,Baguio,,
Healthcare Doctors and Nurses,Santiago,,
Barangay Centro Checkpoint,Cabagan,,
Healthcare Doctors and Nurses,Bayombong,,
Devera Medical Center,Santiago,,
Flores Medical Center,Santiago,,
 Callang General Hospital,Santiago,,
Seveth Adventist Medical Center ( Sanitarium),Santiago,,
,Aparri,,
Department of Health,Tarlac,,
Department of Interior & Local Government,Tarlac,,
Ramos General Hospital,Tarlac,,
CLDH,Tarlac,,
Jecson Medical Center,Tarlac,,
Talon Hospital,Tarlac,,
Loving Mother General Hospital,Tarlac,,
Department of Social Welfare & Development,Tarlac,,
Rayos Valentin Hospital,Tarlac,,
PNP Tarlac/Paniqui,Tarlac,,
PNP Subictown,Olongapo,,
Lourdes Hospital,Olongapo,,
Subictown Rural Health Center,Olongapo,,
Gordon Hospital,Olongapo,,
City Health Office ,Tuguegarao,,
Divine Mercy Wellness Center,Tuguegarao,,
Brgy. San Martin de Porres,Quezon City,,
Brgy. Socorro,Quezon City,,
Caltex navotas Checkpoint,Caloocan,,
Project 7 Health Center,Quezon City,,
Dagupan Police Station,Manila,,
Police Station 2 Check Ponit,Manila,,
Fugoso Health Center,Manila,,
MOTV Manila,Manila,,
Parola Helath Center,Manila,,
Chinese General Hospital,Manila,,
Northern Mindanao Medical Center ,Cagayan de Oro ,,
J.R. Borja General Hospital,Cagayan de Oro ,,
"Bontuyan Medical Hospital, Inc",Polomolok,,
Allah Valley Hospital,Koronadal,,
Police Station Mabolo,Cebu,,
Cityhealth workers,Bacolod,,
St. Paul Hospital,Iloilo,,
Iloilo Doctors Hospital,Iloilo,,
Emilio Aguinaldo College Medical Center,Dasmarinas,,
Bacoor and Dasma Chcekpoint,Imus,,
Quezon Medical center,Lucena,,
Sorsogon Provincial Hospital,Sorsogon,,
BRTHH,Legazpi ,,
Holy Trinity Hospital,Tarlac,,
San Miguel Police Station,Tarlac,,
James Gordon Hospital,Olongapo,,
Olongapo Subic Checkpoint,Olongapo,,
Bangued Police Station,Bangued Abra,,
Baguio City Mobile Force company,Baguio,,
PNP 1 Santiago checkpoint,Santiago,,
Police Task Force,Tarlac,,
Sorsogon Provincial Hosp,Sorsogon,,
Our Lady of Pilar Hospital,Imus,,
Laguna Community Hospital,Sta Cruz,,
BRTTH,Legazpi ,,
Dasma & Imus Checkpoint,Cavite,,
Pagsanjan checkpoint,Sta Cruz,,
Lucena Checkpoint,Lucena,,
FATIMA UNIVERSITY MEDICAL CENTER,Valenzuela,,
Child Hope Hospital,Mandaluyong,,
Checkpoint Robinson,Pasig,,
Military Checkpoint Paliparan3,Imus,,
Checkpoint Greenfield,Mandaluyong,,
BRGY BANABA ALANGILAN,Batangas,,
Checkpoint Podium,Mandaluyong,,
CDRRMO,San Pablo,,
Guagua RHU 3 Personnel,San Fernando,,
TPMO Pasig and other checkpoint station and PNP precint,Pasig,,
Brgy. Checkpoint Medicion 1,Imus,,
EASTERN VISAYAS REGIONAL MEDICAL CENTER ,Palo,,
SAN JUAN LA UNION  PHILIPPINE NATIONAL POLICE CHECKPOINT,San Fernando,,
San Matias Guagua Bureu of Fire,San Fernando,,
SM Supermarket Frontliners,Mandaluyong,,
BRGY. SAN LUCAS 1 SPC,San Pablo,,
Mandaue Centro Health Worker,Mandaue,,
KALAYAAN HOSPITAL,Binakayan,,
DSWD MUNICIPALITY OF KAWIT,Binakayan,,
Victor R. Potenciano Medical Center,Mandaluyong,,
Department of Social Welfare & Development,Cebu,,
PNP Ilustre Ave Checkpoint,Lemery,,
Philippine Heart Center,Mandaluyong,,
BRGY ZONE 2 DASMARINAS,Dasmarinas,,
City Health Center - Caalibangbangan,Cabanatuan,,
BRGY. CHECKPOINT (ALAPAN 2-A),Imus,,
Tricity Medical Center,Pasig,,
Cainta Medical Team,Pasig,,
SK MAMATID CHECKPOINT,Banlic,,
Banlic Checkpoint,Banlic,,
Marcos High-Way Check point,Pasig,,
PH6 MABUHAY CHECKPOINT,Banlic,,
Barangay Baclaran ,Banlic,,
Sta. Lucia Check point,Pasig,,
Cainta LGU Quarantine Team,Pasig,,
PCPL Aguillon R.A.,Pasig,,
Rizal PNP,Pasig,,
Mission Hospital,Pasig,,
Ortigas Hospital and Healthcare Center,Pasig,,
ABS-CBN ,Pasig,,
Healthway Medical City,Mandaluyong,,
Unciano General Hospital,Mandaluyong,,
Rizal Medical Center,Mandaluyong,,
Shangrila Mall Frontliners,Mandaluyong,,
Brgy Hills,Mandaluyong,,
Brgy Wack wack,Mandaluyong,,
Miltary Checkpoint,Mandaluyong,,
Brgy Manggahan,Mandaluyong,,
MUNICIPALITY OF PASIG ,Mandaluyong,,
Starmall Frontliners,Mandaluyong,,
CHECKPOINT ALONG SHAW ,Mandaluyong,,
CHECKPOINT LOURDES SCHOOL,Mandaluyong,,
PAHINGA NORTE CHECK POINT CANDELARIA QUEZON,Candelaria,,
Miltary Checkpoint,Pasig,,
,Baliwag,,
Chinese General Hospital,Quezon City,,
Sauyo Baranggay Hall,Quezon City,,
Sauyo Baranggay Center,Quezon City,,
La Loma Police,Quezon City,,
Baranggay Paraiso,Quezon City,,
TMRU,Quezon City,,
HPG,Quezon City,,
DPOS,Quezon City,,
Baranggay Veterans Village,Quezon City,,
Baranggay Bahay Toro,Quezon City,,
BARANGAY PALIGSAHAN QC,Quezon City,,
"Brgy, Tejero",Bacao,,
Sta. Ignacia Bureau of Fire Protection,Tarlac,,
Brgy. San Antonio 1,Bacao,,
DMMC Hospital,Tanauan,,
Roxas Health Center,Quezon City,,
POLICE COMMUNITY PRECINT 2,Quezon City,,
POLICE COMMUNITY PRECINT 3,Quezon City,,
POLICE COMMUNITY PRECINT 4,Quezon City,,
POLICE COMMUNITY PRECINT 5,Quezon City,,
POLICE COMMUNITY PRECINT 6,Quezon City,,
POLICE COMMUNITY PRECINT 7,Quezon City,,
POLICE COMMUNITY PRECINT 8,Quezon City,,
BRGY. 76-A HEALTH EMERGENCY RESPONSE TEAM,Davao,,
POLICE COMMUNITY PRECINT 9,Quezon City,,
POLICE COMMUNITY PRECINT 10,Quezon City,,
POLICE COMMUNITY PRECINT 11,Quezon City,,
POLICE COMMUNITY PRECINT 12,Quezon City,,
POLICE COMMUNITY PRECINT 13,Quezon City,,
PROVIDENCE HOSPITAL,Quezon City,,
Central Luzon Doctor's Hospital,Tarlac,,
Barangay Dumarais Checkpoint,Tarlac,,
Lapaz Main Police Station,Tarlac,,
Tarlac PNP,Tarlac,,
Rosales Police Station,Carmen,,
Del Carmen Hospital,Carmen,,
PNP Rosales,Carmen,,
San Andres AFP,Virac,,
Mambog 4 Checkpoint,Bacoor,,
Calumpit RHU,Apalit,,
Barangay Lamba Legazpi City,Legazpi,,
Bacoor Disaster Risk Reduction and Management office,Bacoor,,
DSWD- CAR Wangal Office,La Trinidad,,
Taal Polymedic,Lemery,,
BRGY. STA. CRUZ ,Lemery,,
Dr. Jesus C. Delgado Memorial Hospital,Quezon City,,
La Trinidad PNP,La Trinidad,,
Police Station 3 Bacolod City Pollice Office,Bacolod,,
General Services Office (Transportation/Cleanliness & Sanitation),Alaminos,,
Brgy. Sangitan Frontliners,Cabanatuan,,
JDA Lying In / Barangay Bisocol Health Center,Alaminos,,
Rural Health Unit Vintar,Laoag,,
Brgy. Laguile Taal Checkpoint,Lemery,,
Ospital ng Cabuyao,Cabuyao,,
Sala Checkpoint,Cabuyao,,
" Barangay Cavit, Laoag City",Laoag,,
Police Station 11,Zamboanga,,
 Rural Health Unit Sta. Cruz ,Iba,,
QC GENERAL HOSPITAL,Quezon City,,
Candelaria PNP,Iba,,
Brent Hospital,Zamboanga,,
Western Mindanao Command,Zamboanga,,
Candelaria District Hospital,Iba,,
Tarlac Provincial Hospital,Solano,,
AFP WESTERN VISAYAS CHECKPOINT ,Passi,,
AFP Susana Checkpoint,Muntinlupa,,
AFP San Pedro Checkpoint,Muntinlupa,,
University of Perpetual Help System,Las Pinas,,
Las Pinas Doctors Hospital,Las Pinas,,
Barangay Cupang Muntinlupa,Muntinlupa,,
"Police Station Alabang, Muntinlupa",Muntinlupa,,
MPD DDEU,Manila,,
BRGY 729 MANILA,Manila,,
PGH MANILA,Manila,,
BRAVO MPD STATION 9,Manila,,
BRGY 728,Manila,,
Scout Barrio,Baguio,,
BRGY Guisad Sorong,Baguio,,
BRGY 328 MANILA,Manila,,
Camp 7,Baguio,,
brgy. Poliwes ,Baguio,,
Upper Quezon hill ,Baguio,,
CHECK POINT QUIRINO/ TAFT,Manila,,
Capas Municipal Hospital,Cauayan,,
 Immaculate Conception Polyclinic Hospital ,Cauayan,,
CAGSALAOSAO  PNP Checkpoint,Calbayog,,
BRGY 743,Manila,,
BRGY 744,Manila,,
STA. MARGARITA PNP Checkpoint,Calbayog,,
CK SAN ANDRES,Manila,,
UERM Memorial Hospital,Manila,,
BRGY HEALTH OFFICERS ANONAS,Quezon City,,
CHECKPOINT IN LIBIS,Quezon City,,
Angel Salazar Memorial General Hospital,Antique,,
CHECK POINT IN UGONG,Quezon City,,
BRGY. LIBIS,Quezon City,,
BRGY. UGONG,Quezon City,,
Minglanilla District Hospital Frontliners ,Minglanilla,,
Patio Tirona Imus Cavite,Imus,,
PNL Health Workers,Quezon City,,
Brgy. Soccorro Rescue team(stranded),Quezon City,,
"PNP General Hospital, Camp Crame",Quezon City,,
QCMC ,Quezon City,,
QCPD (police check point area),Quezon City,,
Hulong Duhat Health Center,Malabon,,
Bgy Tanza Malabon,Malabon,,
Bgy Flores Malabon,Malabon,,
"Bgy 68, Tanod and Councils",Caloocan,,
Bgy 15 - Central,Caloocan,,
Caloocan City Local Govt,Caloocan,,
Malvar General Hospital,Quezon City,,
Brgy Commonwealth,Quezon City,,
"Brgy Litex, QC Outpost",Quezon City,,
,Quezon City,,
Sinagtala Police Stataion,Quezon City,,
Sinagtala Police Station,Quezon City,,
BRGY. BUTING,Taguig,,
BRGY. WESTERN BICUTAN,Taguig,,
BRGY. CEMBO,Taguig,,
BGC TASKFORCE,Taguig,,
MARKET MARKET SECURITY,Taguig,,
SAN JOAQUIN SECURITY CHECKPOINT,Taguig,,
Brgy Southside Makati,Taguig,,
Brgy Fort Bonifacio,Taguig,,
Western Bicutan Health Center,Taguig,,
Brgy Pinagsama,Taguig,,
Brgy. Calzada Tipas,Taguig,,
Brgy San Isidro,Ilagan,,
Taguig City Police Tuktukan,Taguig,,
Brgy. Sta. Ana Taguig,Taguig,,
Brgy. Ususan Taguig,Taguig,,
Brgy. Tuktukan Taguig,Taguig,,
Bay Municipal Office,Bae,,
 Barangay Emergency Health Response Team - Brgy Upper QM,Baguio,,
